"[run number]","scenarios","n","rayon","Quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-retablies","p-mort","[step]","count turtles with [state = 0]","count turtles with [state = 1]","count turtles with [state = 2]"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","7","955","31","13"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","963","17","14"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","954","29","15"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","950","25","20"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","910","62","27"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","959","25","14"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","913","58","23"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","918","61","19"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","961","16","17"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","8","947","37","15"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","948","25","21"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","947","34","15"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","902","68","26"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","955","26","17"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","902","64","27"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","906","65","25"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","956","21","16"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","9","944","37","16"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","935","44","15"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","946","23","23"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","896","71","27"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","951","27","19"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","893","75","23"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","891","66","31"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","951","25","16"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","10","940","39","17"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","929","43","19"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","943","24","24"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","886","73","33"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","950","24","22"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","875","86","27"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","886","65","33"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","949","25","17"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","918","46","24"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","11","933","41","20"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","937","29","23"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","873","81","35"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","946","26","23"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","868","84","33"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","880","64","37"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","908","51","26"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","946","26","18"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","12","921","47","26"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","931","35","22"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","855","91","39"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","943","29","21"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","862","80","41"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","870","69","40"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","900","54","31"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","943","29","14"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","13","914","47","31"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","922","42","22"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","844","90","44"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","942","28","20"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","860","72","47"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","864","69","41"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","941","28","17"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","893","59","30"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","14","906","50","33"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","915","45","24"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","832","92","50"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","853","70","49"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","860","67","45"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","938","30","19"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","889","60","32"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","936","30","17"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","15","904","49","33"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","816","97","55"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","911","40","29"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","849","65","51"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","851","73","44"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","934","32","16"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","884","52","41"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","933","26","22"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","797","103","63"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","16","897","53","29"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","907","43","29"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","845","64","49"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","843","70","50"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","932","31","15"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","880","54","41"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","787","109","59"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","932","25","23"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","842","58","53"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","17","893","52","31"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","902","43","34"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","837","70","54"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","930","28","19"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","876","56","40"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","781","107","60"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","931","25","23"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","18","890","44","40"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","837","58","53"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","901","42","29"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","826","74","60"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","871","52","44"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","768","114","63"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","927","27","21"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","928","25","24"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","834","50","58"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","19","884","46","40"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","820","74","61"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","899","42","27"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","755","113","74"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","865","54","47"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","927","23","23"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","830","52","58"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","921","29","24"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","20","879","49","39"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","818","67","66"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","894","44","27"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","749","110","76"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","858","53","49"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","927","21","23"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","824","50","59"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","915","34","23"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","815","64","68"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","21","874","52","38"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","884","51","27"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","742","110","76"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","845","60","46"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","927","21","22"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","818","45","61"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","813","63","61"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","910","38","19"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","22","870","52","42"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","878","52","32"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","736","109","72"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","838","61","49"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","816","45","54"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","926","21","20"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","23","867","50","44"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","908","35","21"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","809","64","64"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","730","110","71"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","875","52","33"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","825","69","45"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","814","44","54"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","925","17","22"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","803","64","59"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","900","41","21"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","727","102","74"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","24","859","51","43"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","816","73","45"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","869","54","34"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","810","43","53"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","799","61","61"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","720","94","81"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","925","17","20"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","25","855","51","44"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","892","46","21"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","814","71","42"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","864","54","37"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","807","39","55"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","715","93","82"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","790","64","61"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","26","855","47","43"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","887","48","22"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","810","72","41"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","925","16","19"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","860","54","37"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","804","37","57"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","713","89","82"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","783","59","66"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","27","848","47","46"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","807","65","46"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","879","49","27"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","925","15","20"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","853","51","46"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","709","86","79"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","800","39","53"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","772","66","60"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","28","835","54","48"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","804","64","47"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","875","47","31"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","707","78","76"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","925","13","21"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","849","45","52"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","792","42","54"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","763","68","62"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","29","826","57","49"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","802","57","50"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","873","45","33"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","705","65","82"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","847","43","50"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","924","13","18"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","788","42","56"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","795","58","54"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","760","64","64"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","30","818","60","47"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","697","66","81"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","869","42","34"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","844","41","48"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","923","14","16"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","785","38","55"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","687","69","78"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","31","814","58","48"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","756","63","66"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","783","62","61"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","864","45","33"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","839","44","44"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","779","41","52"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","923","14","14"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","682","68","77"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","748","65","66"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","32","809","60","46"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","769","69","60"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","860","45","35"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","833","45","40"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","36","678","65","80"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","774","44","49"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","745","63","67"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","36","763","69","60"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","922","13","13"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","33","805","58","47"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","37","673","64","78"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","830","44","38"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","855","48","34"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","767","40","59"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","36","740","64","66"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","37","753","70","65"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","797","54","57"
"7","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","34","921","11","15"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","38","669","61","72"
"4","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","36","763","40","58"
"8","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","36","827","37","46"
"2","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","36","849","49","33"
"1","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","37","734","67","64"
"3","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","38","741","78","60"
"5","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","35","795","52","51"
"6","pop-asymptomatique","1000","4","oui","0","0.1","1","0.04","0.06","39","663","61","68"
