"[run number]","scenarios","n","rayon","quarantaine","p-immuniser","p-symptomatiques","p-asymptomatiques","p-retablies","p-mort","p-vacciner","[step]","count turtles with [state = 3]/ n"
"36","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","296","0.769"
"39","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","168","0.275"
"42","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","155","0.28"
"37","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","260","0.456"
"46","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","95","0.115"
"43","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","135","0.301"
"49","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","76","0.164"
"45","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","170","0.29"
"40","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0","325","0.426"
"44","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","229","0.468"
"52","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","91","0.267"
"48","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","258","0.583"
"51","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","144","0.104"
"54","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","118","0.227"
"47","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","401","0.557"
"53","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","286","0.561"
"50","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","358","0.442"
"55","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","227","0.182"
"58","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","180","0.387"
"56","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","239","0.427"
"57","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","222","0.313"
"59","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","151","0.147"
"60","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","168","0.248"
"61","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","172","0.347"
"62","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","151","0.456"
"63","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","129","0.147"
"64","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","131","0.182"
"67","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","90","0.064"
"68","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","133","0.298"
"66","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","187","0.464"
"69","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","229","0.694"
"65","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","321","0.641"
"71","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","120","0.207"
"70","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","188","0.463"
"73","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","198","0.438"
"75","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","176","0.423"
"74","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","144","0.192"
"77","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","165","0.334"
"80","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","72","0.044"
"76","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","243","0.519"
"79","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","168","0.241"
"78","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","234","0.425"
"72","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.05","419","0.447"
"83","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","153","0.304"
"81","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","206","0.32"
"85","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","168","0.298"
"82","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","227","0.201"
"86","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","202","0.413"
"89","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","100","0.064"
"84","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","260","0.323"
"88","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","166","0.212"
"90","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","206","0.294"
"87","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","339","0.368"
"92","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","204","0.468"
"93","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","116","0.14"
"96","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","118","0.164"
"94","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","142","0.248"
"95","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","180","0.304"
"91","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","272","0.296"
"97","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","168","0.449"
"104","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","66","0.096"
"98","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","245","0.415"
"101","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","170","0.365"
"99","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","277","0.467"
"102","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","210","0.24"
"100","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","334","0.401"
"107","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","107","0.168"
"108","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","115","0.207"
"106","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","181","0.352"
"103","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","306","0.396"
"105","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","250","0.353"
"109","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","137","0.149"
"111","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","148","0.36"
"116","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","171","0.379"
"112","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","221","0.305"
"113","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","211","0.335"
"117","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","211","0.482"
"118","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","140","0.197"
"114","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","307","0.351"
"110","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","330","0.224"
"115","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","299","0.36"
"121","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","143","0.261"
"120","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","203","0.394"
"123","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","142","0.276"
"119","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.1","208","0.211"
"127","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","71","0.066"
"122","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","180","0.131"
"126","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","116","0.046"
"124","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","132","0.16"
"128","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","141","0.194"
"125","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","215","0.347"
"131","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","85","0.059"
"133","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","126","0.219"
"132","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","138","0.128"
"129","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","180","0.189"
"130","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","208","0.233"
"135","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","114","0.077"
"134","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","159","0.119"
"136","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","120","0.12"
"137","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","180","0.299"
"142","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","111","0.135"
"140","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","163","0.241"
"139","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","176","0.241"
"138","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","224","0.207"
"141","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","160","0.174"
"145","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","169","0.365"
"144","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","171","0.218"
"146","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","100","0.139"
"147","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","112","0.251"
"143","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","208","0.177"
"148","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","76","0.037"
"153","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","87","0.14"
"149","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","163","0.246"
"150","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","161","0.278"
"151","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","110","0.027"
"152","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","148","0.147"
"156","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","117","0.109"
"155","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","174","0.151"
"158","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","113","0.254"
"154","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","243","0.367"
"160","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","146","0.261"
"157","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","218","0.492"
"161","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","110","0.139"
"162","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","156","0.189"
"164","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","123","0.206"
"159","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.15","228","0.152"
"165","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","149","0.125"
"166","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","147","0.23"
"168","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","130","0.193"
"163","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","218","0.135"
"171","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","103","0.167"
"167","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","197","0.104"
"170","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","143","0.129"
"169","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","202","0.144"
"175","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","81","0.054"
"173","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","162","0.23"
"174","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","153","0.097"
"177","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","93","0.097"
"172","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","234","0.334"
"179","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","102","0.127"
"180","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","89","0.105"
"184","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","93","0.071"
"176","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","208","0.076"
"186","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","109","0.13"
"181","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","200","0.16"
"178","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","250","0.129"
"183","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","177","0.151"
"185","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","166","0.182"
"182","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","273","0.187"
"189","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","100","0.07"
"188","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","190","0.288"
"191","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","107","0.072"
"192","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","138","0.28"
"193","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","78","0.031"
"187","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","229","0.2"
"190","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","162","0.133"
"195","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","85","0.068"
"194","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","168","0.129"
"201","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","118","0.051"
"197","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","198","0.261"
"200","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","166","0.272"
"198","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","208","0.195"
"202","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","137","0.178"
"199","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","255","0.166"
"205","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","106","0.074"
"204","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","149","0.19"
"207","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","110","0.106"
"203","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","149","0.085"
"196","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.2","351","0.256"
"208","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","126","0.072"
"206","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","198","0.222"
"210","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","84","0.075"
"212","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","97","0.113"
"214","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","73","0.065"
"213","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","96","0.065"
"209","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","158","0.131"
"211","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","129","0.079"
"215","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","108","0.124"
"216","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","156","0.229"
"218","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","113","0.171"
"222","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","77","0.052"
"217","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","189","0.249"
"219","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","131","0.102"
"220","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","146","0.216"
"221","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","125","0.126"
"223","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","151","0.157"
"225","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","102","0.107"
"224","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","102","0.062"
"226","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","112","0.154"
"229","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","67","0.062"
"230","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","90","0.108"
"231","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","51","0.022"
"228","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","131","0.081"
"227","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","149","0.129"
"236","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","50","0.045"
"233","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","93","0.051"
"232","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","160","0.289"
"235","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","138","0.164"
"237","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","111","0.073"
"234","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","167","0.136"
"239","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","110","0.194"
"240","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","94","0.121"
"238","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.25","116","0.094"
"241","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","118","0.124"
"243","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","81","0.057"
"247","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","86","0.069"
"244","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","137","0.106"
"245","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","143","0.103"
"242","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","209","0.129"
"246","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","155","0.061"
"249","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","131","0.182"
"250","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","133","0.062"
"248","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","171","0.052"
"254","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","77","0.027"
"252","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","120","0.119"
"255","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","89","0.065"
"256","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","117","0.055"
"251","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","227","0.184"
"253","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","213","0.198"
"261","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","79","0.073"
"258","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","123","0.068"
"260","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","89","0.061"
"259","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","122","0.129"
"257","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","175","0.146"
"263","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","69","0.048"
"266","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","43","0.025"
"262","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","107","0.068"
"268","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","62","0.036"
"267","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","111","0.131"
"265","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","115","0.074"
"270","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","80","0.048"
"264","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","163","0.115"
"269","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","103","0.084"
"271","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","98","0.081"
"272","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","105","0.089"
"274","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","85","0.085"
"279","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","68","0.055"
"273","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","167","0.181"
"275","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","135","0.129"
"280","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","73","0.064"
"276","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","113","0.099"
"281","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","49","0.028"
"277","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","117","0.09"
"284","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","68","0.08"
"283","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","90","0.065"
"282","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","89","0.074"
"278","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.3","172","0.134"
"285","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","78","0.038"
"286","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","92","0.083"
"290","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","68","0.037"
"289","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","85","0.054"
"288","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","155","0.143"
"287","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","167","0.073"
"293","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","96","0.069"
"291","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","108","0.054"
"294","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","101","0.062"
"292","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","125","0.055"
"295","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","105","0.059"
"298","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","82","0.043"
"297","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","110","0.124"
"296","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","154","0.122"
"300","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","131","0.108"
"302","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","107","0.078"
"303","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","95","0.111"
"304","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","72","0.036"
"301","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","138","0.085"
"299","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","171","0.113"
"309","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","48","0.014"
"305","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","128","0.092"
"312","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","59","0.047"
"307","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","89","0.042"
"310","pop-asymptomatique","1000","4","true","0","0.1","1","0.1","0","0.35","73","0.062"
